colsample_bytree,learning_rate,max_depth,subsample,n_estimators,score
1.0,0.2,12,0.5,665,0.8435754189944135
0.9,0.8,7,0.9,277,0.8491620111731844
0.8,0.01,5,0.5,3339,0.8659217877094972
0.3,0.8,4,0.8,257,0.888268156424581
1.0,0.1,7,0.5,783,0.8715083798882681
0.8,0.8,7,0.8,486,0.8491620111731844
0.3,0.2,5,0.5,306,0.8659217877094972
0.3,0.008,3,1.0,5000,0.888268156424581
1.0,0.2,4,0.8,1138,0.8435754189944135
1.0,0.1,3,1.0,4876,0.8547486033519553
0.8,0.1,15,0.8,1368,0.8547486033519553
1.0,0.1,4,0.5,655,0.888268156424581
0.9,0.8,9,1.0,1252,0.8324022346368715
0.8,0.2,13,0.9,1098,0.8268156424581006
0.8,0.1,7,0.9,1220,0.8603351955307262
0.8,0.8,4,0.5,122,0.8603351955307262
0.8,0.1,14,0.5,1025,0.8547486033519553
1.0,0.1,15,0.5,731,0.8603351955307262
0.3,0.8,14,0.8,255,0.88268156424581
1.0,0.8,4,0.8,531,0.88268156424581
0.8,0.8,12,0.8,200,0.8659217877094972
0.3,0.8,7,0.8,480,0.8324022346368715
0.3,0.2,5,0.5,431,0.8547486033519553
0.9,0.8,4,0.9,389,0.8603351955307262
0.8,0.8,7,0.5,352,0.8603351955307262
0.8,0.8,3,0.9,499,0.8659217877094972
0.8,0.8,4,0.9,426,0.8547486033519553
0.9,0.1,7,0.8,1364,0.7988826815642458
0.8,0.2,14,0.8,532,0.888268156424581
0.8,0.1,12,1.0,2738,0.8547486033519553
1.0,0.8,5,1.0,1393,0.8547486033519553
1.0,0.8,3,1.0,1886,0.8938547486033519
0.3,0.8,3,0.8,535,0.8435754189944135
0.8,0.8,4,0.9,446,0.8268156424581006
1.0,0.008,3,0.5,4995,0.8659217877094972
0.9,0.8,3,0.9,519,0.8603351955307262
0.3,0.8,12,0.8,245,0.888268156424581
1.0,0.008,4,1.0,5000,0.8603351955307262
0.8,0.8,12,0.8,292,0.888268156424581
0.8,0.2,14,0.8,502,0.88268156424581
0.9,0.2,3,0.5,774,0.88268156424581
0.8,0.2,7,0.8,701,0.8715083798882681
1.0,0.8,5,0.9,294,0.8435754189944135
0.8,0.8,4,0.9,766,0.8435754189944135
1.0,0.2,7,0.5,642,0.8659217877094972
0.3,0.8,4,0.9,202,0.8603351955307262
1.0,0.2,4,0.8,1114,0.8715083798882681
0.8,0.009,13,1.0,5000,0.8603351955307262
0.9,0.8,3,0.9,633,0.8603351955307262
1.0,0.8,7,0.8,152,0.8547486033519553
0.3,0.8,13,0.5,56,0.88268156424581
0.8,0.2,5,0.5,680,0.8770949720670391
0.8,0.8,4,0.5,235,0.8435754189944135
0.9,0.8,7,1.0,1663,0.8491620111731844
0.3,0.8,7,1.0,1292,0.88268156424581
0.8,0.2,5,0.5,856,0.8547486033519553
0.3,0.8,4,0.5,211,0.8324022346368715
0.8,0.8,3,0.8,379,0.8659217877094972
0.9,0.8,7,0.5,181,0.888268156424581
0.9,0.8,3,0.5,276,0.8770949720670391
0.9,0.2,9,0.5,451,0.8715083798882681
0.9,0.8,3,0.5,395,0.8715083798882681
0.8,0.008,12,1.0,5000,0.8770949720670391
0.9,0.1,4,0.5,1043,0.8603351955307262
1.0,0.2,3,0.8,1024,0.8379888268156425
1.0,0.1,9,1.0,2900,0.8491620111731844
0.9,0.8,7,1.0,1514,0.8100558659217877
1.0,0.1,3,1.0,5000,0.8715083798882681
1.0,0.2,5,0.9,912,0.8603351955307262
1.0,0.8,5,0.5,341,0.8938547486033519
0.3,0.1,4,0.5,629,0.8547486033519553
1.0,0.8,5,0.8,405,0.8938547486033519
0.9,0.008,7,1.0,5000,0.8603351955307262
0.8,0.1,3,0.5,911,0.8770949720670391
0.8,0.008,12,0.9,5000,0.8715083798882681
0.3,0.2,5,1.0,1142,0.8603351955307262
0.3,0.2,12,0.8,456,0.8324022346368715
0.3,0.8,4,0.8,458,0.8435754189944135
0.8,0.2,4,0.8,1541,0.8324022346368715
1.0,0.2,5,0.9,755,0.8603351955307262
0.3,0.009,3,1.0,4999,0.8603351955307262
0.9,0.8,3,0.5,266,0.88268156424581
0.8,0.2,12,0.5,509,0.8770949720670391
0.3,0.8,9,0.5,152,0.88268156424581
0.9,0.8,4,0.5,267,0.8491620111731844
0.9,0.01,7,1.0,5000,0.8715083798882681
1.0,0.8,4,0.9,308,0.8938547486033519
0.3,0.2,4,0.9,997,0.9050279329608939
0.3,0.2,3,0.9,873,0.8603351955307262
1.0,0.8,4,0.5,225,0.8547486033519553
1.0,0.8,7,0.9,538,0.8715083798882681
1.0,0.01,3,0.8,4994,0.8435754189944135
1.0,0.2,14,0.5,616,0.9162011173184358
0.3,0.8,4,0.9,301,0.8435754189944135
0.8,0.2,4,0.5,907,0.8715083798882681
1.0,0.2,3,0.5,907,0.8156424581005587
1.0,0.2,5,0.5,817,0.8603351955307262
0.8,0.8,5,0.9,589,0.8547486033519553
0.9,0.8,4,0.5,240,0.8603351955307262
0.8,0.8,13,0.9,386,0.88268156424581
