colsample_bytree,learning_rate,max_depth,subsample,n_estimators,score,cross_validation_score,cross_validation_error_margin
1.0,0.8,5,0.5,341,0.8938547486033519,0.7856317870817902,0.013970808838555084
0.8,0.8,7,0.5,352,0.8603351955307262,0.7867679367271357,0.015312692896270472
0.8,0.8,4,0.5,122,0.8603351955307262,0.7878727010231625,0.023456641601845563
1.0,0.8,5,0.8,405,0.8938547486033519,0.7901512773837174,0.016104182094093006
1.0,0.8,4,0.8,531,0.88268156424581,0.7923733601154981,0.011126282957752212
0.8,0.8,12,0.8,292,0.888268156424581,0.7923921913250894,0.021349729253799188
0.9,0.8,9,1.0,1252,0.8324022346368715,0.7935032326909799,0.017384770801104312
0.8,0.8,3,0.8,379,0.8659217877094972,0.7935157868307074,0.0273979898484154
1.0,0.8,7,0.8,152,0.8547486033519553,0.7946079969870065,0.009883074572307159
0.9,0.8,7,0.5,181,0.888268156424581,0.7946456594061893,0.022004975473015748
0.8,0.8,4,0.5,235,0.8435754189944135,0.7957315924926244,0.027221782708478175
0.8,0.8,4,0.9,446,0.8268156424581006,0.7957378695624883,0.024227248689168056
0.8,0.8,4,0.9,426,0.8547486033519553,0.7957504237022158,0.026363225632598714
0.8,0.2,13,0.9,1098,0.8268156424581006,0.7957629778419435,0.02526650135029357
0.8,0.8,13,0.9,386,0.88268156424581,0.7957755319816711,0.0323778054129134
1.0,0.1,9,1.0,2900,0.8491620111731844,0.7968614650681063,0.019863099018418543
0.8,0.8,4,0.9,766,0.8435754189944135,0.7968677421379701,0.02219944484827951
1.0,0.8,5,0.9,294,0.8435754189944135,0.7968802962776975,0.024506442860124954
0.8,0.2,14,0.8,532,0.888268156424581,0.7968991274872889,0.02404325400234874
0.8,0.8,12,0.8,200,0.8659217877094972,0.7979976147134517,0.018244283852133742
1.0,0.8,4,0.5,225,0.8547486033519553,0.7979976147134519,0.01753865890176126
1.0,0.2,7,0.5,642,0.8659217877094972,0.7991086560793421,0.013838503446116443
0.3,0.8,7,0.8,480,0.8324022346368715,0.7991086560793422,0.018176235370810923
0.8,0.1,7,0.9,1220,0.8603351955307262,0.7991274872889335,0.022884258083754654
0.9,0.8,3,0.5,395,0.8715083798882681,0.7991400414286611,0.02705212771115703
0.8,0.8,7,0.8,486,0.8491620111731844,0.7991525955683887,0.030025139190396215
0.9,0.01,7,1.0,5000,0.8715083798882681,0.8002385286548239,0.01949641529930883
0.8,0.2,14,0.8,502,0.88268156424581,0.8002510827945514,0.019343059415097626
0.9,0.1,7,0.8,1364,0.7988826815642458,0.8002510827945516,0.025032924710967745
1.0,0.8,4,0.9,308,0.8938547486033519,0.8002510827945516,0.027895220788055612
0.8,0.8,5,0.9,589,0.8547486033519553,0.8002636369342792,0.02731986042194852
0.8,0.1,15,0.8,1368,0.8547486033519553,0.8013746783001696,0.018663879000146415
0.9,0.8,4,0.9,389,0.8603351955307262,0.8013935095097608,0.023244414332026845
1.0,0.8,5,1.0,1393,0.8547486033519553,0.8024731655263324,0.0185496346604624
0.9,0.8,7,0.9,277,0.8491620111731844,0.8024794425961961,0.021915880417229545
0.8,0.1,12,1.0,2738,0.8547486033519553,0.8024857196660597,0.018402152892995995
1.0,0.8,3,1.0,1886,0.8938547486033519,0.80248571966606,0.013680029527300385
1.0,0.2,4,0.8,1138,0.8435754189944135,0.8024919967359236,0.01797438708884642
0.8,0.2,12,0.5,509,0.8770949720670391,0.8024982738057874,0.025211477395602117
0.8,0.2,7,0.8,701,0.8715083798882681,0.8025045508756513,0.02464045046088231
1.0,0.8,7,0.9,538,0.8715083798882681,0.8025045508756513,0.02043971061141665
0.3,0.8,7,1.0,1292,0.88268156424581,0.8035967610319503,0.02241990103743537
0.3,0.8,4,0.8,458,0.8435754189944135,0.8036030381018142,0.02264084890534376
0.8,0.009,13,1.0,5000,0.8603351955307262,0.8036093151716777,0.019259474292267854
0.9,0.008,7,1.0,5000,0.8603351955307262,0.8047140794677045,0.01717895838061669
0.8,0.008,12,1.0,5000,0.8770949720670391,0.8047266336074321,0.01977092073973859
0.8,0.2,4,0.5,907,0.8715083798882681,0.8047329106772958,0.019699387467860808
0.8,0.8,3,0.9,499,0.8659217877094972,0.8047517418868871,0.027059966951046958
1.0,0.2,5,0.5,817,0.8603351955307262,0.8047517418868871,0.017406983624639907
0.8,0.2,4,0.8,1541,0.8324022346368715,0.804758018956751,0.02604528223203285
1.0,0.1,3,1.0,4876,0.8547486033519553,0.80585022911305,0.016711382633444936
1.0,0.1,3,1.0,5000,0.8715083798882681,0.80585022911305,0.016711382633444936
0.9,0.8,3,0.9,633,0.8603351955307262,0.8058565061829139,0.02703554758362565
1.0,0.2,12,0.5,665,0.8435754189944135,0.8058627832527776,0.013132293251322733
1.0,0.2,14,0.5,616,0.9162011173184358,0.8058690603226415,0.02144074328837927
0.9,0.8,4,0.5,267,0.8491620111731844,0.8069361621994853,0.011891454510337861
0.3,0.8,12,0.8,245,0.888268156424581,0.8069612704789405,0.026469672000113423
0.9,0.8,7,1.0,1663,0.8491620111731844,0.8069738246186681,0.017435530764855867
1.0,0.2,3,0.8,1024,0.8379888268156425,0.8069863787583955,0.01798340968904702
1.0,0.2,5,0.9,755,0.8603351955307262,0.8069863787583955,0.0229215558303379
0.9,0.8,7,1.0,1514,0.8100558659217877,0.808097420124286,0.017708064667267483
